letra,nombre,vocal,consonante
p,pe,0,0
z,zeta,0,0
p,pe,0,0
l,ele,0,0
c,ce,0,0
u,u,0,0
h,hache,0,0
l,ele,0,0
n,ene,0,0
a,a,0,0
i,i,0,0
s,ese,0,0
o,o,0,0
j,jota,0,0
k,ka,0,0
q,cu,0,0
k,ka,0,0
z,zeta,0,0
j,jota,0,0
d,de,0,0
x,equis,0,0
y,ye,0,0
e,e,0,0
i,i,0,0
l,ele,0,0
o,o,0,0
v,uve,0,0
n,ene,0,0
d,de,0,0
r,erre,0,0
w,uve doble,0,0
o,o,0,0
v,uve,0,0
s,ese,0,0
p,pe,0,0
t,te,0,0
h,hache,0,0
g,ge,0,0
m,eme,0,0
m,eme,0,0
q,cu,0,0
f,efe,0,0
v,uve,0,0
j,jota,0,0
c,ce,0,0
m,eme,0,0
k,ka,0,0
s,ese,0,0
i,i,0,0
v,uve,0,0
ñ,eñe,0,0
g,ge,0,0
p,pe,0,0
v,uve,0,0
f,efe,0,0
m,eme,0,0
c,ce,0,0
q,cu,0,0
p,pe,0,0
l,ele,0,0
s,ese,0,0
v,uve,0,0
x,equis,0,0
z,zeta,0,0
z,zeta,0,0
r,erre,0,0
a,a,0,0
i,i,0,0
o,o,0,0
x,equis,0,0
l,ele,0,0
y,ye,0,0
h,hache,0,0
y,ye,0,0
i,i,0,0
l,ele,0,0
w,uve doble,0,0
t,te,0,0
o,o,0,0
k,ka,0,0
u,u,0,0
r,erre,0,0
a,a,0,0
r,erre,0,0
l,ele,0,0
b,be,0,0
o,o,0,0
s,ese,0,0
o,o,0,0
z,zeta,0,0
d,de,0,0
t,te,0,0
u,u,0,0
f,efe,0,0
u,u,0,0
z,zeta,0,0
q,cu,0,0
c,ce,0,0
l,ele,0,0
l,ele,0,0
v,uve,0,0
b,be,0,0
j,jota,0,0
h,hache,0,0
j,jota,0,0
r,erre,0,0
c,ce,0,0
o,o,0,0
e,e,0,0
g,ge,0,0
p,pe,0,0
g,ge,0,0
x,equis,0,0
e,e,0,0
u,u,0,0
b,be,0,0
b,be,0,0
h,hache,0,0
e,e,0,0
f,efe,0,0
h,hache,0,0
s,ese,0,0
h,hache,0,0
y,ye,0,0
v,uve,0,0
r,erre,0,0
x,equis,0,0
z,zeta,0,0
z,zeta,0,0
